example,ngram,pattern,term
Make sure you rehearse what the customer is likely to say.,rehearse what,rehearse wh,rehearse
They used that time to rehearse how to handle things.,rehearse how to handle,rehearse wh-to-inf,rehearse
But unless I could reign as one inIn Livia there is more of the mother.,reign as one,reign as n,reign
Long to reign over us?,reign over us,reign over n,reign
"Al Aziz Turay hands over the reign of his administration to his successor if convention/elections take place, but at this time around, Mr.",reign of his,reign of n,reign
Let us pray for an end to his reign.,his reign,"x+'s reign",reign
"Luckily, some insurance companies will reimburse you for the difference in cost between.",reimburse you for the difference,reimburse n for n,reimburse
"Positive reinforcement of his behavior became an increasingly unlikely event, and he simply behaved less.",reinforcement of his,reinforcement of n,reinforcement
Every trooper tightly gripped the reins of his mount.,reins of his,reins of n,reins
He prayed the Commission to recommend his reinstatement.,his reinstatement,"x+'s reinstatement",reinstatement
I reiterate that we made him the best possible offer.,reiterate that,reiterate that,reiterate
"Yet, for others, it can be their race but they reject it as an identity.",reject it as an identity,reject n as n,reject
"What happens if there's no deal or if MPs reject it?",reject it,reject n,reject
"But, the republicans in France must rejoice at his fall.",rejoice at his,rejoice at n,rejoice
"We rejoice that the Mother of God is our Mother, too.",rejoice that,rejoice that,rejoice
A rich man not rejoice in his riches !,rejoice in his,rejoice in n,rejoice
Our nation should rejoin that treaty.,rejoin that,rejoin that,rejoin
"Henry Ford would fall into his old ways, relapse into his old formula.",relapse into his,relapse into n,relapse
Let us see how the two costs relate to each other.,relate to each other,relate to n,relate
I kind of relate it to slavery.,relate it,relate pl-n,relate
I kind of relate it to slavery.,relate it,relate n,relate
This section will relate them to each other through impedance.,relate them to each other,relate n to n,relate
Studies related to the use of trap crops in tea are scarce.,related to the use,related to n,related
B for the relation of his belief-state to the converse of the relation of a belief to Shakespeare.,relation of his,relation of n,relation
His arms and legs were short in relation to his trunk.,relation to his,relation to n,relation
There should be a high relation between the two.,relation between the two,relation between pl-n,relation
The father has not good relations with his sons.,relations with his,relations with n,relations
The taxonomy defines classes of objects and relations among them.,relations among them,relations among pl-n,relations
"Above all, what was the exact relationship between the two men?",relationship between the two,relationship between pl-n,relationship
It’s hurt his sleep and his relationship with his fiancée.,relationship with his,relationship with n,relationship
Their relationship to each other - their order - matters intensely.,relationship to each other,relationship to n,relationship
"I’ve always had a good working relationship with Dave,” he said.",working relationship,adj relationship,relationship
The new year seemed to bring a thaw in their relationship.,their relationship,"x+'s relationship",relationship
"How often do you play to relax from the day's work?",relax,relax,relax
"The town is a source of fuel, camping and relaxation in the hotel.",relaxation in the hotel,relaxation in n,relaxation
This was a relaxation of the rules by the government.,relaxation of the rules,relaxation of n,relaxation
I am relaxed about it.,relaxed about it,relaxed about n,relaxed
Communication implies that two parties are able to relay a message to one another.,relay a message to one,relay n to n,relay
"You write the app, you polish it and you release it.",release it,release  n,release
"Recently, this press release of his came our way.",release of his,release of n,release
"Last week, DiBella granted Salita a release from his contract.",release from his,release from n,release
Covington also dared White to release him from his contract.,release him from his,release n from n,release
"You write the app, you polish it and you release it.",release it,release n,release
He remains on release pending a new court date.,on release,on release,release
Maybe we’ll be in less of a hurry for its release now.,its release,"x+'s release",release
Everyone should go ahead and relegate them to the status of mud people.,relegate them to the status,relegate n to n,relegate
Uncle Todd had been relentless about it.,relentless about it,relentless about n,relentless
"In response, Nelson was relentless in his knock.",relentless in his,relentless in n,relentless
Not enough time had passed for most homeowners to know about the change and its possible relevance to them.,relevance to them,relevance to n,relevance
US Retail Sales next of relevance later in the NA session.,of relevance,of relevance,relevance
My main concern with this paper is its relevance.,its relevance,"x+'s relevance",relevance
This result is relevant in the context of climatic change.,relevant in the context,relevant in n,relevant
Find the data that are relevant to you.,relevant to you,relevant to n,relevant
It is relevant that Boggan et al.,it is relevant that,it v-link relevant that,relevant
It is relevant to note that Stock Exchange Trading Inc.,it is relevant to note,it v-link relevant to-inf,relevant
Choosing the relevant one is a challenge.,the relevant one,det relevant n,relevant
"So, how is it relevant that someone is shouting at you for no valid reason?",is it relevant that,v it relevant that,relevant
There is nothing predictable and reliable about it.,reliable about it,reliable about n,reliable
The reliance on the information might be entirely reasonable.,reliance on the information,reliance on n,reliance
China would have to end its reliance on coal by 2040.,its reliance,"x+'s reliance",reliance
Are These Tech Companies Too Reliant On One Major Customer?,reliant on one,reliant on n,reliant
A relic from the past?,relic from the past,relic from n,relic
It must be sheer relief that keeps him so perky.,relief that,relief that,relief
"The food was a gift, as was the relief from her rugged circumstances.",relief from her,relief from n,relief
This was a great relief to me.,relief to me,relief to n,relief
Investors heave a sigh of relief at the end of the over-reaction rally.,relief at the end,relief at n,relief
"When I told her the news, she cried with relief.",with relief,with relief,relief
But it was a relief that the war was over.,it was a relief that,it v-link det relief that,relief
We spoke to relief workers at the U.N.,to relief,to relief,relief
Hernandez will be pitching in relief later in the game.,in relief,in relief,relief
It will relieve you from many manual and daunting tasks.,relieve you,relieve pron-refl,relieve
"If he does not want to leave, then IU will relieve him of his coaching tasks.",relieve him of his,relieve n of n,relieve
"I'm relieved to see that Scottie's with them.",relieved to see,relieved to-inf,relieved
"He ate with relish, with gusto, with ferocity.",with relish,with relish,relish
So why is there this reluctance to use humor?,reluctance to use,reluctance to-inf,reluctance
But those offers have been met with reluctance.,with reluctance,with reluctance,reluctance
I am not reluctant about it.,reluctant about it,reluctant about n,reluctant
"Initially, he said, he was reluctant to take the job.",reluctant to take,reluctant to-inf,reluctant
"Whatever backup type you use, never rely on it.",rely on it,rely on n,rely
The poll will remain open until May 14 at 3PM EST.,remain open,remain adj,remain
A number of features of our device remain to be optimized.,remain to be,remain to-inf,remain
"For now, the money and shares remain in an escrow account.",remain in,remain prep/adv,remain
It appears Bryant will remain that guy on Sunday.,remain that,remain that,remain
Some markets remain where they are for years.,remain where,remain wh,remain
"For now, the money and shares remain in an escrow account.",remain in,remain adv/prep,remain
All entries become and remain the property of the promoter.,remain the property,remain n,remain
Our concerns remain as they are.,remain as they,remain as n,remain
The deputy appeared to remain calm even as she berated him.,remain,remain,remain
We will drop the primes in the remainder of the paper.,the remainder,the remainder,remainder
But much remains of his tyranny and misrule.,remains of his,remains of n,remains
Remove the remains under the tap and rub again with paper.,the remains,the remains,remains
"Mourners prayed the boy's family would claim his remains.",his remains,"x+'s remains",remains
"I meet a 27-year old woman, on remand for homicide.",on remand,on remand,remand
The proof of this result is based on the remark which follows Corollary 3.1.,remark which,remark wh,remark
Set- remark on it.,remark on it,remark on n,remark
We remark that it is advisable to store a lot of values.,remark that,remark that,remark
I did not make any remark about her collar bone.,remark about her,remark about n,remark
He was most remarkable for his retentive memory.,remarkable for his,remarkable for n,remarkable
We find it remarkable that the energy dependence of the e-ph coupling in Ref.,find it remarkable that,v it remarkable that,remarkable
It is remarkable to see most important aspects are related to a competent of trust.,it is remarkable to see,it v-link remarkable to-inf,remarkable
It is remarkable that the cost is actually cheap.,it is remarkable that,it v-link remarkable that,remarkable
It is remarkable how quickly most horses settle.,it is remarkable how,it v-link remarkable what/how,remarkable
It is remarkable when someone tells you such a thing.,it is remarkable when,it v-link remarkable when/if,remarkable
She has claimed to have discovered the final remedy for all disputes in connexion with industry.,remedy for all disputes,remedy for n,remedy
"They'll also remember him for his intellect and caring nature.",remember him for his,remember n for n,remember
I still remember it to this day.,remember it to this day,remember n to n,remember
I remember having to get up jolly early in the morning.,remember,remember,remember
"I can't remember what she read apart from this one book.",remember what,remember wh,remember
Remember him as one who made a difference.,remember him as one,remember n as n,remember
Remember that time you got due process in a job interview?,remember that,remember that,remember
Remember to take a day of rest in between workouts.,remember to take,remember to-inf,remember
"I won't ask if you remember me, of course.",remember me,remember n,remember
Classes were canceled Friday in remembrance.,in remembrance,in remembrance,remembrance
This will remind you why.,remind you why,remind n wh,remind
Use timers or your mobile phone to remind you when to take your dose.,remind you when to take,remind n wh-to-inf,remind
Remind you of anything?,remind you of anything,remind n of n,remind
Does anyone call to remind you about them ?,remind you about them,remind n about n,remind
And we hope that soon it will remind you to visit the Martin Bake Shop to see for yourself our tempting 97.,remind you to visit,remind n to-inf,remind
It’s a reminder that people do get hurt doing this job.,reminder that,reminder that,reminder
This painful message is a good reminder to us all.,reminder to us,reminder to n,reminder
"In the optional Password Hint field, type a reminder of your password.",reminder of your password,reminder of n,reminder
"Abner Blackburn, one of its founders, told of it in his reminiscences.",his reminiscences,"x+'s reminiscences",reminiscences
The addresses were reminiscent of his remarks last year.,reminiscent of his,reminiscent of n,reminiscent
If I am remiss in my duties I could lose my job.,remiss in my duties,remiss in n,remiss
Emma has been in remission for almost a year now.,in remission,in remission,remission
It is remit it to the State government.,remit it to the state,remit n to n,remit
Its remit is not due to end until September.,its remit,"x+'s remit",remit
Before the remnant of his people.,remnant of his,remnant of n,remnant
His people set out to remonstrate with him.,remonstrate with him,remonstrate with n,remonstrate
Have we not had to remonstrate that you 30 Sept.,remonstrate that,remonstrate that,remonstrate
Have the insurgents displayed any remorse that they are tired of killing?,remorse that,remorse that,remorse
He was stricken with remorse.,with remorse,with remorse,remorse
Ask if he feels remorseful about his offences.,remorseful about his,remorseful about n,remorseful
"The first relation refers to the case where two systems are remote from each other, i.e.",remote from each other,remote from n,remote
The bike was operated from the ground by remote control.,by remote control,by remote control,remote
Heating elements should be removable from the front without disassembly of the unit.,removable from the front,removable from n,removable
Index - Digest removal from the site on which the vessels went aground.,removal from the site,removal from n,removal
You can remove yourself from this list by clicking the link at the bottom of this message.,remove yourself from this list,remove n from n,remove
Tip the glass up and remove it from the frame.,remove it,remove n,remove
Tip the glass up and remove it from the frame.,remove it,remove  n,remove
The snow remover is a hand - operated tool.,the snow remover,n remover,remover
"He will miserably destroy those miserable men, and will let out the vineyard unto other husbandmen, who shall render him the fruits in their seasons.",render him the fruits,render n n,render
"Claudette, only, can take absolute slapstick farce and render it into something that would make even Hirohito relax.",render it into something,render n into n,render
"A had a rendezvous with his lover, who was geographically distant.",rendezvous with his,rendezvous with n,rendezvous
Bush blames the Democrats for forcing him to renege on his pledge.,renege on his,renege on n,renege
Satisfied Policyholders since 1988 - 98 out of 100 ALPS insured attorneys renew their policies with us year after year.,renew their policies with us,renew n with n,renew
For the issuance or renewal of a license fer-a-g rein deater required under section 542.,renewal of a license,renewal of n,renewal
Queens Park was renowned as one of the finest parks in the North West.,renowned as one,renowned as n,renowned
Donald Trump is renowned for his radical outbursts on Twitter.,renowned for his,renowned for n,renowned
We will not sell or rent this information to anyone.,rent this information to anyone,rent n to n,rent
Slight repair to one fold.,repair to one,repair to n,repair
The wavy lines denote a machine under repair.,under repair,under repair,repair
EMT is still a beneficial way when acting in repair wounds.,in repair,in repair,repair
We repair all makes and models of vehicles.,we repair,n repair,repair
Alan played the role of a telephone repairman.,a telephone repairman,n repairman,repairman
"Ex- the repairs to the vehicle, failed to give hibit 6.",repairs to the vehicle,repairs to n,repairs
The second trip was a repeat of the first.,repeat of the first,repeat of n,repeat
She had to repeat it a few times before I believed it.,repeat it,repeat n,repeat
She had to repeat it a few times before I believed it.,repeat it,repeat pron-refl,repeat
"This year, the industry looks on track to repeat that.",repeat that,repeat that,repeat
"I therefore now repeat it to you, at Cripple Creek.",repeat it to you,repeat n to n,repeat
Wash your hair and repeat twice daily for the best control.,repeat,repeat,repeat
Use an insect repellent containing Deet on the skin.,an insect repellent,n repellent,repellent
"Rejoice, renowned physician of those who repent of their sins.",repent of their sins,repent of n,repent
This biography is an attempt to present the stunning repertoire of his work.,repertoire of his,repertoire of n,repertoire
This assumes that a modestly-varied repertoire of amino acids was already available.,varied repertoire,adj repertoire,repertoire
"There's a child-like, playful quality about their repertoire.",their repertoire,"x+'s repertoire",repertoire
The letter begins with a bizarre 25-line repetition of the word ‘Bark’.,repetition of the word,repetition of n,repetition
"No matter what condition they found the planks in, my instructions were to replace them as they found them.",replace them as they,replace n as n,replace
"It proposes to replace it by something else, viz., itself.",replace it by something,replace n by n,replace
They were happy to replace it with something we did like.,replace it with something,replace n with n,replace
Prize out the washer and replace it with a new one.,replace it with,replace n prep/adv,replace
Prize out the washer and replace it with a new one.,replace it with,replace n adv/prep,replace
You only need to take the tire off to replace it.,replace it,replace n,replace
It seems like a suitable replacement for the original Google Pages to me.,replacement for the original,replacement for n,replacement
"This replacement of one conceptual model by another one is Kuhn's paradigm shift.",replacement of one,replacement of n,replacement
Our aim is its replacement with simpler conditions.,its replacement,"x+'s replacement",replacement
"Coleridge, and the publication of his most important replete with his peculiar humor.",replete with his,replete with n,replete
The model is shown to be a reasonable replica of the original.,replica of the original,replica of n,replica
Can the agency replicate it to other programmes?,replicate it,replicate pron-refl,replicate
"After the letter, I share a reply that Dr.",reply that,reply that,reply
Which document requires that a vendor reply with a formal bid proposal? a.,reply with a formal bid,reply with n,reply
Reply with quote.,reply with quote,reply with quote,reply
Students then reply to this topic.,reply to this topic,reply to n,reply
Could I get a quick reply from you?,reply from you,reply from n,reply
I didn’t even make any effort to give him a reply.,reply,reply,reply
Other voices rose from around the bar in reply.,in reply,in reply,reply
The first report on the status of P .t.,report on the status,report on n,report
Ananda is trying to report it for you.,report it for you,report n for n,report
So let me take that and report back to you.,report back to you,report back to n,report
Click into the record or report you wish to view.,report you wish to view,report n to-inf,report
The bill calls for the VA to report back by Jan.,report back,report back,report
"I can report to you there's been progress made.",report to you,report to n,report
We’re not sure from the report which bridge it is.,report which,report wh,report
He is revered for reports of his generosity.,reports of his,reports of n,reports
There were conflicting reports as to what the Assembly would do.,reports as to what,reports as to wh,reports
We should pray for the repose of his soul.,repose of,repose prep/adv,repose
We should pray for the repose of his soul.,repose of,repose adv/prep,repose
Bush will lie in repose until 6 a.m.,in repose,in repose,repose
"Usually, the name of the agency that is the primary repository for the document.",repository for the document,repository for n,repository
I just think it is reprehensible that these practices are going on.,it is reprehensible that,it v-link reprehensible that,reprehensible
"The survey doesn't represent the views of the ECB.",represent the views,represent n,represent
In giving this enumeration of faculties I must not be understood to represent it as complete.,represent it as complete,represent n as adj,represent
"In virtual reality, we can choose to represent ourselves as anything we wish.",represent ourselves as anything,represent n as n,represent
It is desirable to extract a surface representation of the object from the rims.,representation of the object,representation of n,representation
This prompted further representations from the appellant.,representations from the appellant,representations from n,representations
"Crawford had made false representations to him, and Mr.",representations to him,representations to n,representations
The representative of the submitter of the election list becomes 58.,representative of the submitter,representative of n,representative
Did any representative from any insurance company come to you in regard to it ?,representative from any insurance,representative from n,representative
"However, the organization is not permitted to count the time of the attorney o representative to whom the case was referred.",representative to whom,representative to n,representative
He’s not just their representative—he’s their avatar.,their representative,"x+'s representative",representative
Jesus did not reprimand him for his way of life.,reprimand him for his,reprimand n for n,reprimand
This was a particularly horrible crime — a reprisal for his leadership.,reprisal for his,reprisal for n,reprisal
"There is life in reprisal,” he added.",in reprisal,in reprisal,reprisal
I reproach him for his least faults.,reproach him for his,reproach n for n,reproach
BUT sin is a reproach to any people.,reproach to any people,reproach to n,reproach
REPROACH ME NOT.,reproach me,reproach pron-refl,reproach
I reproduce it at the end of the book.,reproduce it,reproduce pron-refl,reproduce
What was most repugnant to me mind.,repugnant to me,repugnant to n,repugnant
The last term accounts for the Coulomb repulsion between the two holes.,repulsion between the two,repulsion between pl-n,repulsion
They point at reputation as one determinant of goodwill.,reputation as one,reputation as n,reputation
"West, 34, has gained a reputation for his erratic outbursts.",reputation for his,reputation for n,reputation
Thetas believe that a good leader builds his recognition and good reputation among his social peers.,reputation among his,reputation among pl-n,reputation
"You have heard of this company, which has a good reputation.",good reputation,adj reputation,reputation
Does NBC really want to kill what little of its reputation?,its reputation,"x+'s reputation",reputation
Regulation by reputation is common-place in markets.,by reputation,by reputation,reputation
Desire To obtain my desires. i would like to request from you.,request from you,request from n,request
Dahlan declined a request to be interviewed for this article.,request to be,request to-inf,request
Can I request that library materials be sent to my dorm?,request that,request that,request
The Registration Authority section sends a request to the server nodes.,request to the server,request to n,request
You should receive a letter acknowledging your request for a hearing.,request for a hearing,request for n,request
I request you to pay H.,request you to pay,request n to-inf,request
All unprocessed data are available by request from Dr.,by request,by request,request
Pick-up and drop-off at area hotels is available on request.,on request,on request,request
They refused to disband at request of police and were arrested.,at request,at request,request
"We should require that most new housing that's built be affordable.",require that,require that,require
OTAs require you to be on the pure stock build.,require you,require n,require
Just avoid any that require you to pay them before they pay you.,require you to pay,require n to-inf,require
The piece is worthy of the time required to read it.,the time required,n required,required
These are requirements as to how close a building may be to property lines.,requirements as to how,requirements as to wh,requirements
The team shared one of their requirements documents with us.,their requirements,"x+'s requirements",requirements
"Because of the failure to have this consent acknowledged, as required by law, it was invalid, and the requisite one - half was not obtained.",the requisite one,det requisite n,requisite
"Thus, we must select L according to the following requisites.",the following requisites,n requisites,requisites
I will reschedule it for the next available opening.,reschedule it for the next,reschedule n for n,reschedule
I want to rescue her from her isolation.,rescue her from her,rescue n from n,rescue
Further research into the causes of this association is needed.,research into the causes,research into n,research
It is appropriate to conduct research on the effects of HSR.,research on the effects,research on n,research
The resemblance between the two models is good.,resemblance between the two,resemblance between pl-n,resemblance
The actor bears an uncanny resemblance to his real-life counterpart.,resemblance to his,resemblance to n,resemblance
The STREAM room bears little resemblance to the traditional classroom.,little resemblance,adj resemblance,resemblance
I could almost be resentful at his lack of resentment.,resentful at his,resentful at n,resentful
They are resentful that anyone can.,resentful that,resentful that,resentful
Louisa feels resentful towards her partner every single day.,resentful towards her,resentful towards/toward n,resentful
I get really resentful about it.,resentful about it,resentful about n,resentful
"All resentful of his departure, all resentful of his return.",resentful of his,resentful of n,resentful
She feels no resentment against him.,resentment against him,resentment against n,resentment
I felt more resentment about it.,resentment about it,resentment about n,resentment
She also expressed anger and resentment towards her husband.,resentment towards her,resentment towards n,resentment
This arouses two kinds of resentment among the people of lower class and status.,resentment among the people,resentment among pl-n,resentment
It’s that resentment that fuels Franzen’s essay.,resentment that,resentment that,resentment
His anger and resentment at his grandfather were still strong.,resentment at his,resentment at n,resentment
So this is my reservation about it.,reservation about it,reservation about n,reservation
"Regards Mr Davies, I concur without reservation Mr Hitchens.",without reservation,without reservation,reservation
States may also officially register reservations as to how the state interprets a treaty.,reservations as to how,reservations as to wh,reservations
"You can book airline reservations over the phone, through a travel agent, or online.",reservations over the phone,reservations over n,reservations
I reserve it for you.,reserve it for you,reserve n for n,reserve
Energy was kept in reserve for when they really needed it.,in reserve,in reserve,reserve
We reserve the right to withdraw offers at any time.,we reserve,n reserve,reserve
UC strongly disagreed with how the audit presented its reserves.,its reserves,"x+'s reserves",reserves
"In the whole speech there is not a word of to the intellectual reservoir of the world, and those brains undue exultation, not a sentence implying vindictiveness Italian.",reservoir of the world,reservoir of n,reservoir
Phibun made a major reshuffle of his government.,reshuffle of his,reshuffle of n,reshuffle
A Cabinet reshuffle is also reportedly in the offing.,a cabinet reshuffle,n reshuffle,reshuffle
"On my shelf, the volumes no longer reside in their box.",reside in,reside prep/adv,reside
"On my shelf, the volumes no longer reside in their box.",reside in,reside adv/prep,reside
Most of the children of Rathvarna reside in one of these housing estate settings.,reside in one,reside in n,reside
Maris is to become a poet in residence in August.,in residence,in residence,residence
A resident of this state may not legally vote in a precinct other than that in which he resides.,resident of this state,resident of n,resident
One resident of a flat above the shop escaped unhurt.,one resident,n resident,resident
The pattern is interrupted by the insertion of one residue near residue 497.,one residue,n residue,residue
CDC spokesman Tom Frieden may be forced to resign as a result.,resign as a result,resign as n,resign
I must resign myself to the fact that such a state of I things is inevitable.,resign myself to the fact,resign n to n,resign
The councilman will resign his post by Nov.,resign his,resign n,resign
I’ve got to admit I sort of want him to resign.,resign,resign,resign
"It was a surprise for me, his resignation from his job.",resignation from his,resignation from n,resignation
Dear Sir : The undersigned tenders herewith his resignation as a member of the council.,resignation as a member,resignation as n,resignation
Now that President Trump has accepted the resignation of his embattled E.P.A.,resignation of his,resignation of n,resignation
"With resignation letters, timing can be everything.",with resignation,with resignation,resignation
"It was a surprise for me, his resignation from his job.",his resignation,"x+'s resignation",resignation
We feared resistance from you.,resistance from you,resistance from n,resistance
The nonviolent resistance against the occupation tried to work within the existing order to weaken and liquidate it.,resistance against the occupation,resistance against n,resistance
There has always been puristic resistance to it.,resistance to it,resistance to n,resistance
The resistance of a company to new innovations is well founded.,the resistance,the resistance,resistance
And yet his resistance to repeal will hurt his bid for reelection.,his resistance,n resistance,resistance
They were resistant to anything of a religious nature.,resistant to anything,resistant to n,resistant
"Rosenthal, however, remains resolute in his views.",resolute in his,resolute in n,resolute
Derek was now resolute about his course of action.,resolute about his,resolute about n,resolute
A speedy trial and resolution of the dispute is needed.,resolution of the dispute,resolution of n,resolution
"It was not a New Year's resolution that led me here.",resolution that,resolution that,resolution
Bring a happy resolution to any disputes that damage the life of this community.,resolution to any disputes,resolution to n,resolution
We will be more than happy to resolve that difficulty.,resolve that,resolve that,resolve
"Thaw, and resolve itself into a dew ?!",resolve itself into a dew,resolve n into n,resolve
And each year we resolve what?,resolve what,resolve wh,resolve
"I can hear voices, so many voices, but somehow they resolve into one.",resolve into one,resolve into n,resolve
Resolve to do no harm in anything you undertake.,resolve to do,resolve to-inf,resolve
"But still resolved to make a flawed philosophy work better, Mr.",resolved to make,resolved to-inf,resolved
"The laser is resonant with the transition g v 0 ""→ e v ′ 0.",resonant with the transition,resonant with n,resonant
The cardboard people resonate with me deeply.,resonate with me,resonate with n,resonate
"Instead, we have to resort to the use of numerical methods.",resort to the use,resort to n,resort
Taxpayer funds would be used only as a last resort.,a last resort,n resort,resort
Joe Andruzzi signed a t-shirt at the Alsol Luxury Resort on Thursday.,luxury resort,adj resort,resort
The ordinary claim is collected by the agency without resort to the courts.,without resort,without resort,resort
The dense beds of this plant resound with the hum of honey - bees.,resound with the hum,resound with n,resound
"These temples of learning must resound with creativity and free thinking,"" he said.",resound with,resound adv/prep,resound
"These temples of learning must resound with creativity and free thinking,"" he said.",resound with,resound prep/adv,resound
I have so much respect for his children.,respect for his,respect for n,respect
"He commands much respect among his peers, too.",respect among his,respect among pl-n,respect
A fundraising event was scrapped out of respect.,out of respect,out of respect,respect
Our data are not decisive with respect to these two analyses.,with respect,with respect,respect
Is the publicist respectful to the author ?,respectful to the author,respectful to n,respectful
We do need to be respectful of each other.,respectful of each other,respectful of n,respectful
Then it generates a signal in the appropriate one of ten insulated wires conveyed via cable 6 to a respective one of ten solenoids 7 in check digit numbering unit 8.,a respective one,det respective n,respective
"Note that these results complement, in respects, the earlier ones given for the wedge.",in respects,in respects,respects
The long sandy beach of Ai Laoudis provides a welcome respite from the heat.,respite from the heat,respite from n,respite
The duke was resplendent in his embroidered robe and circlet.,resplendent in his,resplendent in n,resplendent
"When asked who we are, do we respond with a listing of what we do?",respond with a listing,respond with n,respond
There are some who would respond that he is leading in the polls.,respond that,respond that,respond
It’s unclear how the city plans to respond to the issue.,respond,respond,respond
I will respond to this message when I return.,respond to this message,respond to n,respond
There must be some spiritual response from us.,response from us,response from n,response
Larson asked in response to a question.,response to a question,response to n,response
"In response to the rise, bond prices went into a tailspin.",in response,in response,response
Board members must have the time to carry out their responsibilities.,their responsibilities,"x+'s responsibilities",responsibilities
Describe the Social Responsibility towards the Environment 24.3.,responsibility towards the environment,responsibility towards n,responsibility
The author and the publisher shall have neither liability nor responsibility to any person or entity with respect to any loss or damages arising from the information contained in this book.,responsibility to any person,responsibility to n,responsibility
"Family planning is regarded as women's responsibility as they have more options and access to the services.",responsibility as they,responsibility as n,responsibility
The authors take full responsibility for the content of the article.,responsibility for the content,responsibility for n,responsibility
The government has a very severe responsibility to ensure that.,responsibility to ensure,responsibility to-inf,responsibility
"It is time, he said, for senators to assume their responsibility.",their responsibility,"x+'s responsibility",responsibility
Is she in any way responsible to you ?,responsible to you,responsible to n,responsible
You want to be responsible about it.,responsible about it,responsible about n,responsible
"When people have security of tenure over the local resources, they feel more responsible towards the environment and manage it with an eye to the future.",responsible towards the environment,responsible towards/toward n,responsible
The author is solely responsible for the content of the paper.,responsible for the content,responsible for n,responsible
"After all, they’ll both want to make the person responsible pay.",the person responsible,n responsible,responsible
NAU is responsive to the needs of dual career couples.,responsive to the needs,responsive to n,responsive
"After you remove the cheesecake from the oven, don’t rest it on top of the stove.",rest it on,rest n adv/prep,rest
Havey doesn’t rest on his laurels.,rest on his,rest on n,rest
"After you remove the cheesecake from the oven, don’t rest it on top of the stove.",rest it on,rest n prep/adv,rest
Splurge on a meal at Restaurant August.,at restaurant,at restaurant,restaurant
Was it most appropriate to restore it to its original glory?,restore it to its original,restore n to n,restore
We need a 21st-century New Deal to restore it.,restore it,restore  n,restore
We need a 21st-century New Deal to restore it.,restore it,restore n,restore
You are not an art restorer.,an art restorer,n restorer,restorer
So you think there was some restraint on the part of the press!,restraint on the part,restraint on n,restraint
The child was not in a child restraint system.,a child restraint,n restraint,restraint
We restrict ourselves to the case of complete data.,restrict ourselves to the case,restrict n to n,restrict
Trading is restricted to one day per quarter.,restricted to one,restricted to n,restricted
For now we impose a restriction that atomic auditing is not allowed.,restriction that,restriction that,restriction
A — There is no legal restriction on the number of days an employee can be on light duty.,restriction on the number,restriction on n,restriction
The errors might result from the use of a narrowbanded excitation signal.,result from the use,result from n,result
In this paper we prove a result that fits into this context.,result that,result that,result
He is off work as a result of his injury.,result of his,result of n,result
The students bobbed in their seats and smiled at the result.,result,result,result
He said it will result in the loss of about 200 jobs.,result in the loss,result in n,result
Would the result be that the prosperity of Twofold 2791.,the result be that,the result be that,result
Broad spectrum antibiotics were administered and adjusted with result of culture.,with result,with result,result
Do most senators come away happy with the end result?,the end result,the end result,result
"He broke a campaign promise, and now we see the result.",the result,the result,result
This brought about a great resurgence in the popularity of medicine.,resurgence in the popularity,resurgence in n,resurgence
"The chocolate creams, the entire 160, are designed to sell at retail at one cent each.",retail at one,retail at n,retail
The retail price index increased 61.9 percent during that same period.,the retail price index,the retail price index,retail
Const. him in order to retaliate for his role in Amend.,retaliate for his,retaliate for n,retaliate
Matson was there ready to protect and retaliate with his raised gun.,retaliate with his,retaliate with n,retaliate
They can retaliate against you if you complain.,retaliate against you,retaliate against n,retaliate
He said he believes the action was in retaliation for his activism.,retaliation for his,retaliation for n,retaliation
"In retaliation, the regime has turned increasingly to air power.",in retaliation,in retaliation,retaliation
All subjects in the study were screened for mental retardation.,mental retardation,adj retardation,retardation
This will help them better understand their customer retention and engagement over time.,their customer retention,n retention,retention
Are there signs of a rethink on the part of the Bank?,rethink on the part,rethink on n,rethink
Why this reticence about his past?,reticence about his,reticence about n,reticence
Was Lady Colin reticent on the subject ?,reticent on the subject,reticent on n,reticent
Who else is reticent about his race?,reticent about his,reticent about n,reticent
Nurse She tells him to come with his retinue of spearmen.,his retinue,"x+'s retinue",retinue
Dickens could retire to his room.,retire to his,retire to n,retire
"But no matter, Joshua will retire you.",retire you,retire n,retire
We are now ready to sell off our rentals and retire.,retire,retire,retire
Su decided to retire from his position.,retire from his,retire from n,retire
"Nadal's retirement from his semifinal against del Potro because of an injured right knee.",retirement from his,retirement from n,retirement
I went ahead and put in retirement papers for next year.,in retirement,in retirement,retirement
"Don't ask Jamie Carragher to come out of retirement.",out of retirement,out of retirement,retirement
Perry’s retort that he’s not a cheap date was less than reassuring.,retort that,retort that,retort
"Sadly, it’s far too late to retreat from all of this.",retreat from,retreat prep/adv,retreat
Matt might retreat into his hard shell once more.,retreat into his,retreat into n,retreat
It was a place to which we could retreat from the world and feel protected.,retreat from the world,retreat from n,retreat
"Sadly, it’s far too late to retreat from all of this.",retreat from,retreat adv/prep,retreat
"Women's Spiritual Retreat: Feb.",spiritual retreat,adj retreat,retreat
The trend is clear: American power is in retreat.,in retreat,in retreat,retreat
"Hussein's cooperation must be full, his retreat total.",his retreat,n retreat,retreat
"In retrospect, it was one of the best decisions we made.",in retrospect,in retrospect,retrospect
Return to this page from time 2.,return to this page,return to n,return
Time for the return of the king.,return of the king,return of n,return
